Item,Link,Quantity,Cost,Total,Purpose,Total ,Notes,Rationale
"4"" OD x 16"" Acrylic Vase",Amazon,1,$17.00,$17.00,Vessel,$486.48,"Clear Flower Vase, Non-breakable Vases, 4"" W x 16"" H, Acrylic Vase,","High height/diameter ratio means more gas residency time, which increases carbon sequestration. Narrow diameter prevents self-shading. Acrylic is clear and cheap."
Input Filter,Amazon,1,$15.99,$15.99,Filter inside air,,Air Venting Filter Sterile PTFE Hydrophobic Filter Disc 50mm 0.22μm ,Inline means it's easy to integrate into tubing lines without janky modifications. 0.20 microns is a good amount of filtering without crazy high levels of backpressure.
Output Filter,Amazon,1,$21.99,$21.99,Filter outside air,,"50mm 0.1um Hydrophobic PTFE Membrane Filter,OD 5CM,","50mm is the largest size filter that fits the top cap, minimizing backpressure. 0.1 um is important to prevent the air smelling like a photobioreactor. Hydrophobic filter prevents culture from evaporating."
Air Stone,Amazon,1,$18.48,$18.48,Aerate Culture,,"hygger Air Stones for Aquariums, Transparent Acrylic Fish Tank Bubbler Kit with Air Tube","Fine air bubbles increase surface area, mixing, and therefore productivity. This specific airstone was chosen for its EPDM foam design instead of ceramic bubbles, making it easy to clean and hard to clog."
Air Pump,Amazon,1,$18.99,$18.99,Give Air Stone Power,,"AQQA Aquarium Air Pump Fish Tank Aerator Pump Battery Backup Fish Oxygen Pump Rechargeable Portable Bubbler Pump with Air Stone, Air Tube & Check Valve (1.5W 80GPH)","It is DC-powered, as opposed to the vast majority of pumps at this volume range that are AC-powered. It has good reviews and vibration-insulating feet."
Light,Amazon,1,$12.49,$12.49,algae lighting,,Qasim 1 Pair 90MM 66SMD COB LED for Angel Eyes Halo Ring DRL LED Fog Light Lamp with Cover White 12V 24V DC ,EXTREME brightness at a low cost. Easy to control with a MOSFET; just 12V and GND wires. 
Peristaltic Pump,Amazon,1,$39.62,$39.62,Dispense Nutrients; Harvest Algae,,Kamoer KPHM600-SW3B17 600ml/min high flow rate peristaltic pump 12V DC brush motor liquid dosing pump BPT tube ,"Low cost, high quality BPT tubing, comaptible with chosen tubing size, high flow rate, brushed motor decreases cost and is easy to control with a motor driver."
RECs,Terrapass,0.1,$8.00,$0.80,Cancels out the non-renewable power SOPHON uses.,,"In quantity, type in 0.1. For recipient, type in ""Hallie Wells MS (SOPHON)"". This is a certificate, not physical product.","Technically, this iteration of SOPHON isn't carbon-negative due to budget constraints. In the interest of still contributing to carbon capture, we purchased 0.1 MWh worth of renewable electricity, which is enough to cover the carbon cost of running SOPHON for 1 year!"
Manifold,McMaster,1,$36.62,$36.62,"Cornerstone of SOPHON, elegantly wires up liquid.",,"Right-Angle Flow Rectangular Manifold Polypropylene, 5 Outlets, 3/8 NPT Inlet x 1/4 NPT Outlet, Item 5364K805","In the interest of reducing cost, this manifold helps multiplex flow (i.e. use 1 peristaltic pump for flushing, nutrient delivery, and biomass removal). Polypropylene is chemical-resistant, which is important as Spirulina media is mildly alkaline."
"3/8"" NPT Plug",US Plastic,1,$0.69,$0.69,Seal unused area of Manifold,,"3/8"" NPT Natural Polypropylene Threaded Plug, Item 64726","Seals manifold. Polypropylene is chemical-resistant, which is important as Spirulina media is mildly alkaline."
"1/4"" NPT Plug",US Plastic,2,$0.98,$1.96,Seal unused area of Manifold,,"1/4"" NPT Natural Polypropylene Threaded Plug, Item 64725","Seals manifold. Polypropylene is chemical-resistant, which is important as Spirulina media is mildly alkaline."
"1/4"" NPT to 1/4"" Barbed Adapter",US Plastic,5,$0.94,$4.70,Connect manifold to solutions,,"1/4"" Tube ID x 1/4"" NPT Natural Polypropylene Threaded Adapter, Item 64815","Converts NPT outlets of manifold into barbs that tubing can hook onto. Polypropylene is chemical-resistant, which is important as Spirulina media is mildly alkaline."
"3/8"" NPT to 1/4"" Barbed Adapter",US Plastic,1,$0.90,$0.90,Connect manifold to vessel,,"1/4"" Tube ID x 3/8"" NPT Natural Polypropylene Threaded Adapter, Item 64818","Converts NPT outlets of manifold into barbs that tubing can hook onto. Polypropylene is chemical-resistant, which is important as Spirulina media is mildly alkaline."
"1/4"" ID Elbow",US Plastic,12,$1.06,$12.72,Stop kinking of tubes,,"1/4"" Tube ID Natural Polypropylene Elbow, Item 64406","Instead of bending tubes, these elbows reduce stress on the tubing, reduce flow bottlenecks, and look cleaner."
"3/16"" ID Elbow",US Plastic,5,$1.34,$6.70,Stop kinking of tubes,,"3/16"" Tube ID Natural Polypropylene Elbow, Item 64405","Instead of bending tubes, these elbows reduce stress on the tubing, reduce flow bottlenecks, and look cleaner."
"1/4"" Bulkhead",Amazon,1,$9.89,$9.89,Pass tubing through,,"10 Packs 1/4 Thru-Bulk Bulkhead Plastic Hose Barb Fittings Plastic Hose Barb Fittings 1/4"" Pipe Connector Fittings for Aquarium Fish Tank Garden Laboratory ",A bulkhead helps pass through tubing through both sides of a panel (such as a cap) in a cleaner manner.
"3/16"" Bulkhead",eBay,1,$10.87,$10.87,Pass tubing through,,"5pk, 4.8-M8-4.8",A bulkhead helps pass through tubing through both sides of a panel (such as a cap) in a cleaner manner.
O-Ring,eBay,1,$11.17,$11.17,Seals Top Cap,,"5pk, 95mm OD x 5mm CS","An o-ring ensures airtight sealing. 70A is a moderate hardness, enough to ensure durability while still conforming to the irregular surface of the 3d-printed o-ring groove."
M3x0.5mm Nuts,Amazon,1,$5.89,$5.89,Attach parts to SophonBoard,,"uxcell Hex Nuts, M3x0.5mm Metric Coarse Thread Hexagon Nut, Stainless Steel 304, Pack of 50 ","Used to attach modular 3D-printed parts to SophonBoard (see ""Print This"")"
M3x20mm Machine Screws ,Amazon,1,$7.89,$7.89,Attach parts to SophonBoard,,uxcell M3x20mm Threaded Nylon Phillips Cross Pan Head Machine Screws Bolts White 50Pcs ,"Used to attach modular 3D-printed parts to SophonBoard (see ""Print This"")"
AIR tubing,Amazon,1,$7.50,$7.50,"Airline tubing, sterile, better.",,"Platinum-Cured Silicone (3 Feet, 3/16"" ID x 5/16"" OD)",Platinum-cured silicone has higher chemical resistance and durability while still not being too expensive.
LIQUID tubing,Amazon,1,$25.00,$25.00,LIQUID tubing.,,"Platinum-Cured Silicone (25 Feet, 1/4"" ID x 3/8"" OD)",Platinum-cured silicone has higher chemical resistance and durability while still not being too expensive.
Plastic Occluding Tube Clamp,Amazon,5,$4.15,$20.75,Hold tubing shut for multiplexed peristaltic pump,,Dravon Plastic Occluding Tube Clamp (Hemostat) - 1 Each / Each ,"These tubing clamps are used for dialysis, so they have extreme clamping power. They make the multiplexer possible, ensuring fluids do not mix. Although solenoid valves would automate the harvest process, this is cheaper and more reliable."
USB-C Decoy (2pk),Amazon,1,$7.99,$7.99,Power SOPHON,,USB-C PD Trigger Board Module PD/QC Decoy Board Fast Charge USB Type-C to 5-20V High Speed Charger Power Delivery Boost Module (2PCS) ,"Instead of a jumble of wires vying for attention for 1 outlet, this allows the entirety of SOPHON to be powered with just one USB-C PD supply that's 36+ watts."
2pk 2L Amber Reagent Bottles,Amazon,1,$26.99,$26.99,Hold harvest and nutrient media tanks,,"Laboratory Grade HDPE Wide Mouth Amber Reagent Bottle Designed for Laboratories Classrooms or Storage at Home 2,000mL (2L) Capacity Pack of 2 (Amber2) ","HDPE bottles are extremely durable, making them suitable for chemicals and biomass storage. The airtight lid ensures that odors do not escape. 2 liters is enough that manual replacement and emptying is only required once a week. Both the biomass and media are light-sensitive, requiring amber bottles."
22AWG Stranded Silicone Wire 20ft,Amazon,1,$5.99,$5.99,Wiring,,"TUOFENG 22 Gauge Electrical Wire 20 Feet [10 ft Black and 10 ft Red] 22 AWG Flexible Silicone Wire of Tinned Copper Wires, Solder Through Quickly ",Extremely flexible wires are perfect for low-current wiring applications.
USB-C Pigtail,Amazon,1,$7.99,$7.99,Connect Air Pump to circuit,," USB C to 2 Pin Bare Wire Open End Power Cable 11inch, 20AWG 5V/5A USB Type C Male Plug 2 Pin Pigtail Cable, for USB Type C Equipment Installed or Replacement Repair DIY Cable - 2Pcs ",Allows the USB-C powered air pump to be powered through a standard 5V DC connection.
Wagos ,Amazon,1,$11.95,$11.95,Wiring ,," WAGO 221 Lever Nuts 12pc Compact Splicing Wire Connector Assortment with Case | Includes 221-2401, 221-412, 221-413, 221-415 ","Connects multiple wires together in a non-destructive manner, increasing reliability when compared to wire nuts or manual twisting and soldering."
Solid 18AWG Wire 20 ft,Amazon,1,$10.98,$10.98,Wiring High-Current Devices,, BNTECHGO 18 Gauge PVC 1007 Solid Electric Wire Red and Black Each 20 ft 18 AWG 1007 Hook Up Tinned Copper Wire ,18 AWG is used for high-current connections to ensure low resistance.
Uno R4 WiFi,Amazon,1,$22.00,$22.00,"Main ""Brains"" of the system",," Arduino UNO R4 WiFi [ABX00087] - Renesas RA4M1 + ESP32-S3, Wi-Fi, Bluetooth, USB-C, CAN, 12-bit DAC, OP AMP, Qwiic Connector, 12x8 LED Matrix for Advanced IoT & Embedded Projects ","An UNO R4 is used as the ""best of both worlds"" of the ESP32 and Arduino Uno R3, preserving an exceptional ADC and 5V logic level with WiFi and an RTC."
DRV8871 Motor Driver,Amazon,1,$12.99,$12.99,Control Peristaltic Pump,,Teyleten Robot DRV8871 Motor Driver DC Motor Driver H-Bridge PWM Driver Module 3.6A 3pcs ,"Suitable for high-current motor driving, common, and relatively cheap."
Assorted DuPont Wires (120pk),Amazon,1,$6.98,$6.98,Wiring (Breadboard),," ELEGOO 120pcs Multicolored Dupont Wire 40pin Male to Female, 40pin Male to Male, 40pin Female to Female Breadboard Jumper Ribbon Cables Kit Compatible with Arduino Projects ",Absolutely needed for breadboard wiring.
Turbidity Sensor,DigiKey,1,$9.07,$9.07,Data Collection,,Amphenol Advanced Sensors (Thermometrics) TST-10,"The TST-10 is inline, allowing for turbidity measurement to be conducted at the same time as harvest. While an in situ measurement system would be superior, the current inline method eliminates a failure point."
MOSFET,DigiKey,1,$1.78,$1.78,Control LED Light,,IRLZ44NPBF,Low gate threshold voltage allows actuation with a regular Arduino. A MOSFET is more compact than a relay.
Buck Converter (12V to 5V),DigiKey,1,$9.95,$9.95,Use 1 power supply for all of SOPHON,,Adafruit 1385,"This buck converter has a high current capacity (3A). Again, a buck converter was used in the interest of ensuring 1 USB-C PD power supply of 36 watts or higher can power SOPHON."
470uF Capacitor,DigiKey,1,$1.86,$1.86,Smooth Sensor Noise,,CAP ALUM 470UF 20% 100V RADIAL KEMET 399-15666-ND,An electrolytic capacitor smooths low-frequency buck converter noise that otherwise undesirably impacts the turbidity sensor readings.
1uF Capacitor,DigiKey,1,$0.10,$0.10,Smooth High-Frequency Sensor Noise,,CAP ALUM 1UF 20% 50V RADIAL TH  WURTH ELECTRONIK 860020672005,An electrolytic capacitor smooths high-frequency buck converter noise that otherwise undesirably impacts the turbidity sensor readings.
5A PSU,CanaKit,1,$14.95,$14.95,Power SOPHON,,ALREADY HAD ON HAND! CanaKit 5A USB-C Power Supply with PD for the Raspberry Pi 5 ,"Cheap, low-noise, and has the required power."
1L Distilled Water,Walmart,1,$1.37,$1.37,Dilute and Wash Tubing,,"Great Value Distilled Water, 1 Gallon","Cheap and exceptionally pure, reducing the risk of contaminant growth."
Tubing Terminators,Amazon,2,$8.97,$17.94,Prevent tubing from coiling,,2 Pack Water Bottle Pump Tubing Sinker Tube Hose End Weights Drop Tip Stainless Steel Filter Head for 5 Gallon Water Dispenser Bottom Loading Water Cooler Heater Countertop Kongfu Tea Tray ,"High density, compatible with liquid tubing size. The airstone already ensures that the air tubing is vertical, so the tubing terminator accomplishes a similar function for liquid."
M3x45 Bolts 60pk,Amazon,1,$6.99,$6.99,Keep manifold in place,,"60pcs M3 x 45mm Hex Socket Head Cap Screws Bolts, 12.9 Grade Alloy Steel, Black Oxide Finish, Allen Socket Drive, Full Threads,with Hex Spanner ","Holds manifold to 3D-printed attachment plate. Prior iteration used 3D-printed pegs; however, these were weak, snapped, and required supports that were tedious to remove. Black oxide socket head chosen for aesthetic purposes."
